Algorithm,Array Size,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Run 6 (ms),Run 7 (ms),Run 8 (ms),Run 9 (ms),Run 10 (ms),Run 11 (ms),Run 12 (ms),Run 13 (ms),Run 14 (ms),Run 15 (ms),Run 16 (ms),Run 17 (ms),Run 18 (ms),Run 19 (ms),Run 20 (ms),Run 21 (ms),Run 22 (ms),Run 23 (ms),Run 24 (ms),Run 25 (ms),Run 26 (ms),Run 27 (ms),Run 28 (ms),Run 29 (ms),Run 30 (ms)
MergeSort,100000,9.426,10.065,9.618,9.383,9.501,9.419,9.251,9.248,9.446,9.610,9.299,9.221,33.491,9.079,9.316,9.278,9.360,9.263,9.321,9.315,9.399,10.264,20.431,9.272,9.159,9.529,9.471,9.505,9.543,9.376
MergeSort,1000000,115.967,111.531,112.004,109.842,111.108,111.281,109.225,111.199,112.997,114.549,117.040,111.941,114.556,113.127,115.279,118.134,115.908,121.719,116.832,117.449,115.659,116.055,114.367,117.008,113.982,121.987,117.376,118.697,114.821,118.523
HeapSort,10,0.017,0.002,0.002,0.004,0.002,0.002,0.002,0.021,0.002,0.002,0.002,0.003,0.002,0.002,0.004,0.014,0.003,0.002,0.002,0.004,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003
HeapSort,100,0.044,0.049,0.044,0.057,0.013,0.009,0.008,0.020,0.009,0.007,0.008,0.007,0.017,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.009,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007
HeapSort,1000,0.119,0.116,0.116,0.117,0.114,0.116,0.115,0.118,0.116,0.119,0.115,0.115,0.115,0.114,0.113,0.115,0.119,0.115,0.113,0.121,0.091,0.087,0.085,0.083,0.083,0.083,0.087,0.080,0.081,0.083
HeapSort,10000,1.033,0.821,0.721,0.712,0.695,0.707,0.703,0.762,0.743,0.734,0.735,0.720,0.739,0.732,1.002,0.747,0.770,0.750,0.722,0.720,0.746,0.760,0.751,0.735,0.742,0.759,0.715,0.707,0.705,0.697
HeapSort,100000,8.757,8.737,8.612,8.562,8.525,8.778,8.545,8.520,8.890,8.551,8.537,8.636,8.620,8.464,12.215,8.934,8.755,8.649,8.673,8.551,8.501,8.449,8.649,8.473,8.735,8.550,8.726,8.615,8.468,8.557
HeapSort,1000000,109.444,112.846,115.097,110.976,110.581,110.232,110.088,109.896,109.612,109.863,113.301,113.765,110.566,110.327,110.053,109.982,110.391,109.840,109.764,112.383,113.955,110.652,109.142,109.087,108.506,109.037,108.369,108.208,110.414,115.276
InsertionSort,10,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
InsertionSort,100,0.035,0.032,0.033,0.035,0.036,0.032,0.033,0.043,0.033,0.035,0.032,0.033,0.036,0.035,0.038,0.034,0.034,0.033,0.031,0.031,0.032,0.031,0.031,0.031,0.031,0.031,0.031,0.037,0.032,0.032
InsertionSort,1000,0.708,0.492,0.492,0.492,0.457,0.492,0.518,1.155,0.180,0.179,0.183,0.174,0.190,0.187,0.187,0.187,0.190,0.178,0.179,0.178,0.424,0.186,0.180,0.179,0.178,0.179,0.178,0.180,0.178,0.193
InsertionSort,10000,13.880,14.100,5.401,5.411,5.417,5.366,5.445,5.389,5.406,5.445,5.376,5.368,5.372,5.353,5.420,5.371,5.407,5.348,5.468,5.388,5.333,5.559,5.424,5.394,5.425,5.358,5.484,5.391,5.411,5.387
InsertionSort,100000,535.563,540.922,536.047,540.121,534.633,545.021,542.354,536.133,540.130,536.356,540.004,539.594,548.340,535.730,542.734,531.488,542.195,531.349,539.576,530.609,538.143,530.005,530.098,537.113,538.663,534.185,534.121,533.819,532.869,532.444
InsertionSort,1000000,53700.162,53730.259,53848.753,53673.321,53805.209,53706.510,53778.297,53751.037,53665.688,53943.499,53668.298,53672.542,53856.924,53570.862,53794.197,53794.309,53629.684,53759.126,53779.960,53571.277,53743.360,53665.306,53697.857,53999.118,53654.372,53641.008,53746.825,53609.043,53632.178,53674.689
SelectionSort,10,0.005,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SelectionSort,100,0.062,0.061,0.066,0.061,0.061,0.066,0.062,0.058,0.058,0.058,0.059,0.074,0.058,0.060,0.059,0.058,0.058,0.032,0.024,0.021,0.021,0.022,0.022,0.014,0.015,0.015,0.016,0.025,0.017,0.018
SelectionSort,1000,0.982,0.990,0.536,0.359,0.352,0.365,0.361,0.353,0.354,0.349,0.203,0.199,0.203,0.192,0.195,0.190,0.190,0.188,0.187,0.186,0.191,0.187,0.188,0.192,0.191,0.188,0.189,0.190,0.185,0.184
SelectionSort,10000,16.015,16.265,15.930,15.957,15.985,15.962,15.988,15.950,16.007,15.927,15.928,16.224,16.158,15.972,16.010,15.925,15.954,15.946,15.919,15.991,15.923,15.891,16.049,15.951,15.953,15.973,15.964,15.970,15.981,15.953
SelectionSort,100000,1551.071,1549.709,1550.750,1548.478,1552.568,1551.093,1550.843,1551.403,1550.012,1550.738,1552.286,1549.947,1553.162,1548.626,1548.489,1548.798,1553.216,1554.081,1558.576,1556.749,1551.832,1558.427,1551.306,1554.487,1550.502,1553.324,1551.097,1564.660,1564.524,1568.854
SelectionSort,1000000,155977.352,155869.157,155710.941,155619.818,155991.619,155719.936,155618.669,155686.707,155746.579,155905.942,155809.159,155771.738,155651.660,155616.041,155908.110,155695.919,155655.851,155963.487,155789.631,155708.776,155650.942,155604.146,155597.611,155545.615,155513.380,155349.741,155283.441,155436.726,155205.011,155182.055
